id;name;name_ru;sweCode
0;Placidus;Плацидус;P
1;Koch;Кох;K
2;Campanus;Кампанус;C
3;Meridian;Меридианная;X
4;Regiomontanus;Региомонтанус;R
5;Porphyry;Порфирий;P
6;Morinus;Моринус;M
7;Equal;Равнодомная;E
8;Alcabitius;Алькабитус;B
